임시일련번호,주민등록번호,혈액형,은행,근무년수,인센티브,소유차량,적금,성별,신장,주거형태,자녀수,가족관계,추가컬럼1,추가컬럼2,추가컬럼3,추가컬럼4,추가컬럼5,추가컬럼6,추가컬럼7,추가컬럼8,추가컬럼9,추가컬럼10,추가컬럼11,추가컬럼12
6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,821010-2811925,A,더케이저축은행,13년 4개월,29000,AUDI,6000,여,141,주상복합,2명,1여,처갓집양념,에프앤에프,상하이푸동개발,2383000000,경기도 김포시,김부식,TD뱅크,앙골라,삼성전자,간질,스타워즈,홍역
d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,320402-2811714,A,대신저축은행,18년 1개월,64000,TOYOTA,1000,여,167,아파트,2명,1남2여,지코바숯불양념,케이투코리아,버크셔 해서웨이,210000000,경기도 용인시,신숙주,소프트뱅크 그룹,스리랑카,차이나 모바일,결막염,에이스,장티푸스
4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce,661226-2121830,AB,삼정저축은행,14년 3개월,81000,PORSCHE,9000,남,146,아파트,0명,2남2여,교촌치킨오리지날,케이투코리아,소프트뱅크 그룹,34564000000,전라북도 전주시,온조왕,중국평안보험,몰디브,엔호이저 부시,비만,구룡쟁패,전반적 발달 장애
4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a,660731-2957690,A,BNK저축은행,22년 4개월,57000,KIA,5000,남,143,주상복합,4명,2남1여,멕시카나 닭강정,아디다스코리아,NTT,2163000000,서울시 강남구 신사동,단군,네슬레,몰디브,애플,백혈병,길드워,트라코마
ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,061129-4604111,B,스카이저축은행,1년 8개월,56000,BMW,2000,남,171,아파트,1명,1남1여,BHC핫후라이드,데상트코리아,페트로차이나,311000000,충청남도 공주시,김대건,폭스바겐,슬로바키아,폭스바겐,피부의 악성 흑색종,에이스,스포로트리쿰증
e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,920507-1495641,B,키움저축은행,29년 5개월,45000,TOYOTA,2000,여,246,아파트,3명,1남2여,BHC핫후라이드,이랜드 그룹,릴라이언스 인더스티리즈,31246000000,서울시 강남구 일원본동,관창,ICBC,리비아,유나이티드헬스그룹,달리 분류된 질환에서의 파킨슨증,블루랜드,동맥경화
7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451,470512-1690287,O,남양저축은행,7년 2개월,87000,TOYOTA,7000,남,180,아파트,0명,1남2여,네네치킨 파닭,SK네트워크,NTT,311000000,경기도 남양주시,맹사성,사우디 아람코,라오스,텐센트,지속성 망상성 장애,에이스,노인성 백내장
2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3,910921-1847959,B,대한저축은행,13년 9개월,63000,HONDA,1000,여,186,상가,2명,1남,멕시카나땡초,형지그룹,NTT,30224000000,충청남도 보령시,홍길동,RBC,멕시코,월트 디즈니,갑상선,구룡쟁패,위장염
19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7,080408-4954972,AB,대원저축은행,17년 11개월,2000,KIA,7000,여,190,주상복합,0명,3여,BHC핫후라이드,형지그룹,차이나 모바일,32344000000,경기도 김포시,맹사성,RBC,세인트빈센트 그레나딘,쉐브론,척수염 및 뇌척수염,아바벨,피부의 악성 흑색종
4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5,550420-1938175,B,BNK저축은행,25년 10개월,86000,TOYOTA,6000,여,155,아파트,3명,1남,네네치킨 스노우윙,한섬,CVS헬스,1532000000,경기도 양주시,태종,엑슨모빌,세이트루시아,엑슨모빌,페스트,로한,시타시균 감염
